YEAR BUILT,PROPERTY TYPE,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
1805,PRIVATE,87,43.657052831,-79.398070766
1838,PRIVATE,89,43.6591658607,-79.3715926671
1885,PRIVATE,89,43.659551551,-79.372639262
1885,PRIVATE,93,43.649450698,-79.435105646
1888,PRIVATE,90,43.665633289,-79.368248349
1890,PRIVATE,77,43.669877229,-79.403530164
1898,PRIVATE,68,43.666610495,-79.400824313
1900,PRIVATE,76,43.6683620869,-79.3786856506
1900,PRIVATE,78,43.710106124,-79.40052975
1900,PRIVATE,66,43.672241558,-79.414621827
1900,PRIVATE,83,43.6380072384,-79.4380349647
1900,PRIVATE,78,43.6364714077,-79.4388819579
1900,PRIVATE,70,43.636657078,-79.440488524
1904,PRIVATE,85,43.661081408,-79.412672813
1905,PRIVATE,81,43.672755617,-79.288300453
1905,PRIVATE,77,43.668834904,-79.404273749
1905,PRIVATE,91,43.653182785,-79.429268774
1907,PRIVATE,65,43.66211133,-79.412263301
1909,PRIVATE,97,43.664610347,-79.382107604
1910,PRIVATE,99,43.667037433,-79.381704336
1910,PRIVATE,96,43.668007452,-79.382076109
1910,PRIVATE,82,43.678231531,-79.440608667
1911,PRIVATE,95,43.663780728,-79.413601152
1911,PRIVATE,87,43.649350674,-79.429532272
1911,PRIVATE,76,43.649465465,-79.432097969
1912,PRIVATE,89,43.648423856,-79.424019412
1912,PRIVATE,77,43.639607448,-79.440903239
1913,PRIVATE,72,43.675054533,-79.433043883
1915,PRIVATE,89,43.671655465,-79.323701099
1915,PRIVATE,89,43.691863282,-79.396100397
1917,PRIVATE,79,43.668954869,-79.380480475
1917,PRIVATE,87,43.636238103,-79.439018826
1917,PRIVATE,75,43.6396109365,-79.4394716965
1918,PRIVATE,94,43.667969229,-79.378215831
1918,PRIVATE,66,43.690628939,-79.400166183
1918,PRIVATE,74,43.690570503,-79.400460705
1918,PRIVATE,90,43.680695002,-79.416986377
1919,PRIVATE,72,43.668063591,-79.413898107
1920,PRIVATE,89,43.6746856483,-79.2801413313
1920,PRIVATE,75,43.67317576,-79.283928255
1920,PRIVATE,74,43.673119009,-79.284093491
1920,PRIVATE,65,43.67304043,-79.284311709
1920,PRIVATE,80,43.672662921,-79.286123968
1920,PRIVATE,74,43.672483295,-79.2865449683
1920,PRIVATE,76,43.6726703072,-79.2866950453
1920,PRIVATE,70,43.672498883,-79.286873829
